name,rating,reviews,latitude,longitude,url,category,location
Museum DPR RI,4.5,32.0,-6.210306,106.7997213,https://www.google.com/maps/place/Museum+DPR+RI/data=!4m7!3m6!1s0x2e69f78e29c1ad95:0x1d68da9cf80732f3!8m2!3d-6.210306!4d106.7997213!16s%2Fg%2F11g3xy1r52!19sChIJla3BKY73aS4R8zIH-JzaaB0,Sejarah & Budaya,Jakarta Barat
Taman Mini Indonesia Indah,4.6,173725.0,-6.3044926,106.8893388,https://www.google.com/maps/place/Taman+Mini+Indonesia+Indah/data=!4m7!3m6!1s0x2e69ed50d076a261:0x73127b9ecf2da0c!8m2!3d-6.3044926!4d106.8893388!16zL20vMDhiaHFr!19sChIJYaJ20FDtaS4RDNry7LknMQc,Sejarah & Budaya,Jakarta Timur
Taman Mini Indonesia Indah,4.6,173725.0,-6.3044926,106.8893388,https://www.google.com/maps/place/Taman+Mini+Indonesia+Indah/data=!4m7!3m6!1s0x2e69ed50d076a261:0x73127b9ecf2da0c!8m2!3d-6.3044926!4d106.8893388!16zL20vMDhiaHFr!19sChIJYaJ20FDtaS4RDNry7LknMQc,Sejarah & Budaya,Jakarta Selatan
Museum Kehutanan Manggala Wanabakti,4.5,213.0,-6.2069864,106.7985992,https://www.google.com/maps/place/Museum+Kehutanan+Manggala+Wanabakti/data=!4m7!3m6!1s0x2e69f6b98d80d1e7:0x2222df68c55f20e3!8m2!3d-6.2069864!4d106.7985992!16s%2Fg%2F1tfthmr4!19sChIJ59GAjbn2aS4R4yBfxWjfIiI,Sejarah & Budaya,Jakarta Pusat
Museum Polri,4.6,827.0,-6.2394477,106.8027635,https://www.google.com/maps/place/Museum+Polri/data=!4m7!3m6!1s0x2e69f169ec7f39a5:0xdb4f3d819bd716bd!8m2!3d-6.2394477!4d106.8027635!16s%2Fg%2F12nvp8h49!19sChIJpTl_7GnxaS4RvRbXm4E9T9s,Sejarah & Budaya,Jakarta Barat
Museum Polri,4.6,827.0,-6.2394477,106.8027635,https://www.google.com/maps/place/Museum+Polri/data=!4m7!3m6!1s0x2e69f169ec7f39a5:0xdb4f3d819bd716bd!8m2!3d-6.2394477!4d106.8027635!16s%2Fg%2F12nvp8h49!19sChIJpTl_7GnxaS4RvRbXm4E9T9s,Sejarah & Budaya,Jakarta Selatan
Taman Akuarium Air Tawar TMII,4.5,3477.0,-6.3057291,106.8948934,https://www.google.com/maps/place/Taman+Akuarium+Air+Tawar+TMII/data=!4m7!3m6!1s0x2e69ed5bde31edff:0xaeb9e1ea2a91f0ff!8m2!3d-6.3057291!4d106.8948934!16s%2Fg%2F1tk0szzs!19sChIJ_-0x3lvtaS4R__CRKurhua4,Sejarah & Budaya,Jakarta Timur
Museum Kehutanan Manggala Wanabakti,4.5,213.0,-6.2069864,106.7985992,https://www.google.com/maps/place/Museum+Kehutanan+Manggala+Wanabakti/data=!4m7!3m6!1s0x2e69f6b98d80d1e7:0x2222df68c55f20e3!8m2!3d-6.2069864!4d106.7985992!16s%2Fg%2F1tfthmr4!19sChIJ59GAjbn2aS4R4yBfxWjfIiI,Sejarah & Budaya,Jakarta Selatan
Monas Dancing Fountain,4.7,3096.0,-6.1753073,106.8250914,https://www.google.com/maps/place/Monas+Dancing+Fountain/data=!4m7!3m6!1s0x2e69f5d35dbb5cdb:0x94dcdf9cd758a4a0!8m2!3d-6.1753073!4d106.8250914!16s%2Fg%2F11fy4jqbnb!19sChIJ21y7XdP1aS4RoKRY15zf3JQ,Sejarah & Budaya,Jakarta Pusat
Museum Sejarah Jakarta,4.5,205.0,-6.13393,106.81209,https://www.google.com/maps/place/Museum+Sejarah+Jakarta/data=!4m7!3m6!1s0x2e6a1dff2cfb4d7b:0xd7c679760a35d450!8m2!3d-6.13393!4d106.81209!16s%2Fg%2F11bc8lmtwh!19sChIJe037LP8dai4RUNQ1CnZ5xtc,Sejarah & Budaya,Jakarta Barat
KRATON MAJAPAHIT JAKARTA,4.6,606.0,-6.3074993,106.8935654,https://www.google.com/maps/place/KRATON+MAJAPAHIT+JAKARTA/data=!4m7!3m6!1s0x2e69ed435111f3cb:0xa4687d065dc20a16!8m2!3d-6.3074993!4d106.8935654!16s%2Fg%2F11f1vnyq01!19sChIJy_MRUUPtaS4RFgrCXQZ9aKQ,Sejarah & Budaya,Jakarta Timur
Museum Kehutanan Manggala Wanabakti,4.5,213.0,-6.2069864,106.7985992,https://www.google.com/maps/place/Museum+Kehutanan+Manggala+Wanabakti/data=!4m7!3m6!1s0x2e69f6b98d80d1e7:0x2222df68c55f20e3!8m2!3d-6.2069864!4d106.7985992!16s%2Fg%2F1tfthmr4!19sChIJ59GAjbn2aS4R4yBfxWjfIiI,Sejarah & Budaya,Jakarta Barat
"Museum Hakka Indonesia, Taman Mini Indonesia Indah",4.7,239.0,-6.3051779,106.9039675,"https://www.google.com/maps/place/Museum+Hakka+Indonesia,+Taman+Mini+Indonesia+Indah/data=!4m7!3m6!1s0x2e69ed51c9aa8f09:0xf83d9d1112de8709!8m2!3d-6.3051779!4d106.9039675!16s%2Fg%2F11c1x1vy4t!19sChIJCY-qyVHtaS4RCYfeEhGdPfg",Sejarah & Budaya,Jakarta Selatan
